kode,nama
aruba,Aruba
afganistan,Afganistan
angola,Angola
kepulauan_aland,Kepulauan Aland
albania,Albania
andorra,Andorra
uni_emirat_arab,Uni Emirat Arab
argentina,Argentina
armenia,Armenia
samoa_amerika,Samoa Amerika
antartika,Antartika
wilayah_selatan_prancis,Wilayah Selatan Prancis
antigua_dan_barbuda,Antigua dan Barbuda
australia,Australia
austria,Austria
azerbaijan,Azerbaijan
burundi,Burundi
belgia,Belgia
benin,Benin
bonaire_sint_eustatius_dan_saba,"Bonaire, Sint Eustatius dan Saba"
burkina_faso,Burkina Faso
bangladesh,Bangladesh
bulgaria,Bulgaria
bahrain,Bahrain
bahama,Bahama
bosnia_dan_herzegovina,Bosnia dan Herzegovina
santo_barthelemy,Santo Barthelemy
belarus,Belarusia
belize,Belize
bermuda,Bermuda
negara_majemuk_bolivia,Negara Majemuk Bolivia
brasil,Brasil
barbados,Barbados
brunei_darussalam,Brunei Darussalam
bhutan,Bhutan
pulau_bouvet,Pulau Bouvet
botswana,Botswana
republik_afrika_tengah,Republik Afrika Tengah
kanada,Kanada
kepulauan_cocos_keeling,Kepulauan Cocos (Keeling)
swiss,Swiss
cile,Cile
cina,Tiongkok
pantai_gading,Pantai Gading
kamerun,Kamerun
republik_demokratik_kongo,Republik Demokratik Kongo
kongo,Kongo
kepulauan_cook,Kepulauan Cook
kolombia,Kolombia
komoro,Komoro
cabo_verde,Cabo Verde
kosta_rika,Kosta Rika
kuba,Kuba
curacao,Curacao
pulau_christmas,Pulau Natal
siprus,Siprus
kepulauan_cayman,Kepulauan Cayman
republik_ceko,Republik Ceko
jerman,Jerman
djibouti,Djibouti
dominika,Dominika
denmark,Denmark
republik_dominika,Republik Dominika
aljazair,Aljazair
ekuador,Ekuador
mesir,Mesir
eritrea,Eritrea
sahara_barat,Sahara Barat
spanyol,Spanyol
estonia,Estonia
etiopia,Etiopia
finlandia,Finlandia
fiji,Fiji
kepulauan_falkland_malvinas,Kepulauan Falkland (Malvinas)
prancis,Prancis
kepulauan_faroe,Kepulauan Faroe
negara_federasi_mikronesia,Negara Federasi Mikronesia
gabon,Gabon
britania_raya,Britania Raya
georgia,Georgia
guernsey,Guernsey
ghana,Ghana
gibraltar,Gibraltar
guinea,Guinea
guadeloupe,Guadeloupe
gambia,Gambia
guinea_bissau,Guinea-Bissau
guinea_ekuator,Ekuator Guinea
yunani,Yunani
grenada,Granada
greenland,Greenland
georgia_selatan_dan_kepulauan_sandwich_selatan,Georgia Selatan dan Kepulauan Sandwich Selatan
guatemala,Guatemala
guyana_prancis,Guyana Prancis
guam,Guam
guyana,Guyana
hongkong,Hongkong
pulau_heard_dan_kepulauan_mcdonald,Pulau Heard dan Kepulauan McDonald
